@RELATION bodyguard

@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE class {left2right other right2left }
@DATA
5.23316, 5.19119, 5.85189, 5.56851, 5.9672, 4.24964, 3.65583, 5.20441, 4.2184, 2.75569, 4.41908, 4.89019, 5.56156, 4.25867, 4.17093, 4.21334, 4.55266, 4.6065, 4.23625, 4.843, 13.7392, 6.74256, 7.45332, 11.0318, 13.4367, 8.60708, 12.916, 5.63628, 13.5669, 5.4531, 10.3069, 9.88822, 10.7495, 4.58302, 14.4067, 12.1299, 8.45188, 4.41155, 8.90714, 16.5501, left2right
1.7036, 1.63885, 1.86179, 2.82237, 6.2405, 2.9563, 6.77914, 2.66593, 4.00599, 5.33653, 3.50206, 3.37188, 5.50188, 2.04126, 3.00037, 3.34581, 2.26558, 2.28836, 2.11216, 4.25758, 22.0381, 20.7098, 20.8131, 24.5868, 25.2264, 22.3884, 23.9775, 7.14315, 26.1298, 3.61927, 17.3873, 17.42, 24.7303, 4.64945, 25.5028, 24.054, 21.7849, 3.1835, 21.8902, 22.8632, left2right
1.12121, 1.12671, 1.41747, 1.47275, 6.99741, 1.98431, 6.62132, 1.44734, 1.90092, 4.85363, 1.53013, 1.95832, 3.72507, 0.985445, 1.99234, 2.38169, 1.13832, 1.16511, 0.875541, 4.0028, 22.7473, 18.8115, 18.8186, 24.0794, 26.646, 21.441, 26.201, 6.26718, 26.1273, 1.57294, 21.7956, 20.8679, 24.7079, 6.10651, 24.6893, 23.8865, 20.6809, 5.36865, 21.3967, 24.1407, left2right
24.8073, 22.5365, 21.9574, 21.7601, 7.08613, 21.4058, 8.18343, 21.373, 20.1144, 10.241, 21.1602, 17.9176, 12.3972, 22.8657, 22.845, 17.4305, 17.3847, 20.1568, 22.9828, 14.01, 1.09462, 1.33359, 1.76276, 2.3423, 1.21733, 2.22532, 2.62294, 10.968, 1.49773, 18.3399, 4.9136, 5.52725, 3.37438, 10.9926, 1.16198, 1.4366, 2.00232, 6.4244, 1.46536, 1.47115, left2right
1.08565, 1.91842, 1.11942, 1.97324, 10.2966, 3.75278, 7.41912, 1.91886, 6.00576, 6.22622, 3.1928, 2.64152, 10.0456, 2.08378, 4.18281, 5.99304, 3.90649, 2.48797, 2.66411, 6.92656, 23.7381, 23.5737, 32.1111, 29.8457, 24.8187, 23.9415, 19.6144, 8.55453, 25.3681, 5.7489, 14.239, 13.8581, 20.4794, 7.67713, 26.1401, 25.9816, 21.8161, 2.72373, 25.0043, 31.598, left2right
10.6779, 9.11682, 9.797, 9.45202, 2.08992, 7.24431, 2.83348, 8.17578, 3.86775, 3.27492, 7.03654, 7.71749, 0.428738, 8.89913, 7.81809, 2.61535, 7.06186, 9.27088, 9.02747, 2.57588, 7.95312, 7.86796, 6.76827, 8.02222, 9.28477, 7.59767, 6.98794, 2.03034, 9.68457, 5.38375, 3.88697, 4.00858, 7.63115, 3.82829, 10.3392, 10.0537, 10.2603, 2.21431, 11.7761, 6.50524, left2right
2.45074, 1.81794, 2.20029, 2.34542, 8.47848, 2.49602, 5.59459, 1.07503, 3.22946, 6.21853, 2.21672, 2.35589, 4.06771, 1.62641, 2.44403, 4.0594, 2.24683, 1.83216, 1.79829, 5.037, 20.0305, 18.7408, 18.9101, 19.6084, 19.9136, 20.1781, 16.816, 7.3902, 21.3547, 2.77391, 12.6893, 13.119, 16.4927, 6.31808, 21.5379, 21.2214, 16.6325, 6.76275, 20.7544, 17.9745, left2right
5.84374, 3.19975, 4.60517, 5.32689, 2.68164, 2.67656, 2.6341, 2.87417, 1.02003, 3.52146, 2.79011, 4.47752, 1.12601, 3.19177, 2.79468, 0.573985, 2.07038, 3.48535, 3.02266, 1.33459, 14.9811, 14.0301, 13.6355, 12.9901, 16.5005, 13.5917, 14.7347, 2.06436, 15.0381, 2.06869, 9.72582, 9.47738, 14.8734, 4.60897, 13.6, 15.6287, 16.2473, 2.31552, 13.7395, 14.4158, left2right
1.18401, 1.24463, 0.888966, 0.830025, 7.63405, 1.73813, 6.94775, 1.50202, 3.04454, 4.99689, 1.34764, 0.680048, 6.17355, 0.724668, 1.88591, 3.66444, 1.55908, 0.879047, 0.938556, 3.06194, 19.5692, 22.3571, 26.3195, 24.5182, 20.2505, 22.8375, 20.018, 7.31037, 20.1713, 2.30787, 15.2279, 13.9144, 18.1744, 5.55369, 20.9432, 18.9111, 16.679, 7.0056, 19.7005, 26.2382, left2right
18.0248, 15.7948, 16.2768, 14.9776, 6.20672, 14.8414, 7.91213, 15.7775, 17.5093, 9.84596, 14.3777, 12.1978, 13.6358, 16.0832, 16.1443, 17.0058, 15.9739, 14.9546, 16.2004, 15.5191, 0.777067, 1.48075, 2.81246, 2.11297, 0.752643, 1.73002, 1.33078, 8.52608, 0.695356, 16.1846, 3.57706, 3.57573, 1.09904, 11.73, 1.06941, 1.33502, 0.927062, 6.50433, 1.20561, 2.69518, left2right
