@RELATION appcontest

@ATTRIBUTE acc_magx_min NUMERIC
@ATTRIBUTE acc_magx_max NUMERIC
@ATTRIBUTE acc_magx_abs_mean NUMERIC
@ATTRIBUTE acc_magy_min NUMERIC
@ATTRIBUTE acc_magy_max NUMERIC
@ATTRIBUTE acc_magy_abs_mean NUMERIC
@ATTRIBUTE acc_magz_min NUMERIC
@ATTRIBUTE acc_magz_max NUMERIC
@ATTRIBUTE acc_magz_abs_mean NUMERIC
@ATTRIBUTE acc_mag_mean NUMERIC
@ATTRIBUTE acc_magz_peakfreq NUMERIC
@ATTRIBUTE acc_magz_spectralslope NUMERIC
@ATTRIBUTE class {left2right,right2left,other}

@DATA
-8.89332,5.37658,1.96569,4.42205,19.3563,9.48263,-12.2447,20.2199,3.24297,10.6082,1.96,-0.105549,other
-8.89332,5.37658,2.00024,4.42205,19.3563,9.42147,-13.2591,20.0749,3.41365,10.6387,1.92,-0.103452,other
-9.94541,4.61014,2.16993,4.10781,19.3798,9.47254,-14.3456,20.0749,3.38688,10.7142,1.94,-0.087967,other
-9.94541,4.61014,2.06824,3.99453,19.3798,9.48009,-14.3456,20.0488,2.92568,10.4855,1.94,-0.0973616,other
-8.20604,3.98226,1.99704,3.80285,19.1406,9.7206,-7.40294,10.0654,2.69416,10.5941,1.94,-0.0878818,other
-8.20604,3.98226,2.11449,3.80285,19.1406,10.1562,-7.40294,10.0654,2.78135,11.0882,1.94,-0.0336526,other
-6.59745,4.78567,2.1286,3.25234,17.4681,9.7998,-7.40294,11.5926,2.7713,10.7979,4.41,-0.05839,other
-7.45413,4.78567,2.23807,3.25234,19.2914,9.50472,-13.1963,15.8032,3.03569,10.6311,4.41,-0.0652304,other
-7.93251,4.58754,2.26823,3.62388,19.2914,9.63998,-13.1963,20.1292,3.36614,10.8651,1.96,-0.118432,other
-7.93251,4.42473,2.0457,3.73806,19.2586,9.67332,-11.1383,20.1898,3.53081,10.9009,1.96,-0.118714,other
-7.93251,4.42473,2.05361,3.96087,19.2586,9.57978,-12.89,20.1898,3.67425,10.8971,12.74,-0.135369,other
-7.49662,7.54345,2.20471,2.84967,19.1673,9.37595,-12.89,20.1898,3.79369,10.8431,1.94,-0.134879,other
-7.49662,11.8079,2.49616,2.84967,19.1581,10.0098,-12.89,20.0837,3.66259,11.4022,1.9,-0.0816753,other
-8.01915,11.8079,2.5713,2.84967,19.1581,10.3773,-11.747,17.5477,3.27312,11.6877,4.275,-0.0618289,other
-8.01915,5.11082,2.3128,2.75151,19.2633,9.77432,-17.1905,20.1398,3.13107,11.0175,4.275,-0.0354946,other
-7.47776,4.65308,2.12355,2.36964,19.3249,9.42244,-17.1905,20.1398,3.39674,10.8226,3.325,-0.0812022,other
-9.89768,4.7921,2.49254,0.196768,19.3786,9.37167,-17.1905,20.1398,4.46622,11.3223,3.325,-0.135314,other
-9.89768,9.48828,2.69574,-0.255274,19.3786,9.87715,-12.8057,20.0852,4.70089,11.9188,3.325,-0.136057,other
-9.89768,9.48828,2.7452,-0.255274,19.3786,9.87455,-12.5895,20.0494,3.83314,11.5693,2.88,-0.0865972,other
-5.93726,9.48828,2.23347,-0.255274,19.0898,10.2128,-11.6095,17.201,3.19832,11.4473,4.365,-0.0761055,other
-5.93726,2.55758,1.56752,2.61624,19.1388,9.93607,-6.98008,5.54896,2.44497,10.5773,1.44,-0.0639833,other
-6.46233,4.77758,1.90115,1.83574,19.2811,9.286,-10.9227,20.1142,3.19542,10.3752,4.41,-0.0968624,other
-7.80083,6.68694,2.32991,0.18046,19.2998,9.0896,-10.9227,20.2333,4.13909,10.8764,4.95,-0.103817,other
-11.141,6.93922,2.4441,-2.17122,19.4063,9.4022,-13.488,20.2333,5.04622,11.6197,4.9,-0.120998,other
-11.141,8.42781,2.75462,-2.17122,19.4063,10.0699,-17.2601,20.2776,5.22977,12.3794,4.41,-0.0891494,other
-11.141,8.42781,2.70824,2.38894,19.4063,10.3007,-17.2601,20.2776,4.64603,12.292,5.445,-0.0588719,other
-9.65916,6.54104,2.22793,2.06483,19.1576,9.60784,-10.9429,17.3563,3.61882,11.0089,3.88,-0.0740567,other
-9.65916,6.54104,2.56102,0.662736,19.2945,9.04847,-10.9429,20.2386,4.05371,10.9244,4.8,-0.0954998,other
-7.79155,8.64911,3.01424,0.662736,19.2945,9.08114,-10.9429,20.2386,5.16218,11.5709,4.9,-0.148166,other
-7.72272,8.64911,2.7866,1.92088,19.1811,10.0219,-10.608,17.8971,4.35949,11.8312,4.365,-0.089539,other
-7.2994,5.5518,2.25875,3.85687,19.1811,9.92391,-9.93224,12.6627,3.39326,11.1491,1.92,-0.0535959,other
-10.9689,8.46776,2.7149,1.6231,19.4026,9.49987,-11.3746,20.0337,3.44275,10.9038,1.94,-0.0618292,other
-10.9689,8.46776,2.52506,0.124053,19.4026,9.13533,-16.0781,20.0337,4.44897,11.0748,3.325,-0.131847,other
-6.56872,8.46776,2.45966,0.124053,19.2508,9.44891,-16.0781,14.2353,4.35399,11.3194,3.84,-0.102788,other
-8.12823,6.98082,2.58461,0.799508,19.3394,9.36295,-13.3059,20.0756,3.80773,11.0244,4.7,-0.11514,other
-8.12823,6.90601,2.569,-2.51793,19.3394,9.91294,-13.3059,20.0868,3.80964,11.4797,3.36,-0.0666093,other
-8.12823,6.90601,2.55671,-2.51793,19.3394,10.1281,-13.0439,20.1667,4.0139,11.7704,2.91,-0.04977,other
-7.12762,5.23127,2.25853,2.13471,19.1693,10.4999,-12.7331,20.1885,3.7159,11.8723,1.94,-0.0169364,other
-6.73632,3.23513,2.02196,2.10463,19.2053,10.2572,-7.78017,20.1885,3.46405,11.525,1.94,-0.0304314,other
-6.73632,3.23513,2.03553,1.76855,19.2053,10.0901,-7.78017,20.1784,2.88239,11.1141,1.96,0.000188716,other
-6.61496,3.23513,2.09383,1.76855,19.213,10.3359,-7.78017,20.1888,3.21889,11.471,1.98,-0.0154965,other
-6.61496,2.78128,2.14416,1.76855,19.213,9.78866,-7.43123,20.1974,3.03737,10.9259,1.98,0.00603072,other
-5.55569,2.86329,2.05616,1.99854,19.2062,10.0921,-5.14449,20.2235,3.1469,11.25,1.98,-0.0230855,other
-5.17307,2.86329,2.05311,1.99854,19.1718,9.8596,-4.59816,20.2235,2.23611,10.6406,1.94,-0.0206737,other
-5.17307,2.86329,2.21252,1.99854,19.1718,9.81959,-4.27735,20.2235,1.86353,10.5213,1.44,-0.0530711,other
-5.17307,2.91955,1.88779,7.17969,13.0969,9.24125,-3.61356,5.21946,2.33487,9.90364,0.47,-0.118467,other
-3.69152,2.91955,1.47608,7.67768,11.4726,8.85482,-1.36752,5.25312,3.63097,9.83019,0.475,-0.21953,other
0.24331,2.14877,1.53872,7.67768,9.3741,8.312,3.81871,5.25312,4.75452,9.7096,0.475,-0.298072,other
0.966053,2.30215,1.62581,7.85619,8.65106,8.26993,4.2935,5.25312,4.76807,9.68945,0.47,-0.30228,other
0.966053,2.30215,1.6404,7.90841,8.65106,8.25438,4.2935,5.20748,4.78016,9.6843,0.475,-0.299892,other
1.14187,2.10478,1.59889,7.81849,8.66632,8.2266,4.3399,5.24669,4.85312,9.68781,0.485,-0.298219,other
0.478089,2.55055,1.52867,7.22488,9.89424,8.23678,4.46499,5.68273,4.9693,9.75277,0.495,-0.299067,other
-6.90047,6.92486,2.19565,0.00837479,19.2181,8.27481,-7.16772,11.0241,4.92866,10.1846,0.495,-0.247962,other
-6.90047,6.92486,2.27226,0.00837479,19.2181,9.01678,-7.16772,20.1808,4.09733,10.6976,0.495,-0.154257,other
-6.90047,4.29261,1.9238,0.00837479,19.2181,10.0187,-7.16772,20.1808,2.86809,11.0909,1.92,-0.0386438,other
-6.6425,2.57464,1.95502,1.61682,19.2386,10.05,-7.23834,20.1808,2.91668,11.1252,1.9,-0.0222383,other
-6.38991,2.57464,1.98251,0.890337,19.2386,9.99083,-7.23834,20.2097,2.99347,11.1104,1.96,-0.010386,other
-7.34279,3.51241,1.95566,0.890337,19.2224,9.91593,-7.40579,20.2097,3.03938,11.0487,1.96,-0.0195039,other
-7.34279,3.51241,2.09023,0.890337,19.2224,10.0147,-7.40579,20.1928,3.10799,11.1867,1.9,-0.015116,other
-7.34279,4.28154,2.08148,0.795164,19.2224,10.0933,-7.55707,20.1928,3.22747,11.3423,1.94,-0.0272406,other
-7.60181,5.4273,2.19284,0.795164,19.2629,9.68167,-7.55707,20.2447,3.06339,10.9214,2,-0.0164259,other
