	 1.314056	 0.455780	 -0.495956	 5
1462172140.979	 0	 0.716248	 0.305038	 0.114182	 5
1462172140.988	 0	 0.695740	 0.371384	 0.193436	 5
1462172140.998	 0	 0.683640	 0.420990	 0.238464	 5
1462172141.007	 0	 0.670471	 0.437759	 0.256943	 5
1462172141.017	 0	 0.670471	 0.437759	 0.256943	 5
1462172141.027	 0	 0.688034	 0.404449	 0.218887	 5
1462172141.036	 0	 0.712830	 0.399765	 0.175079	 5
1462172141.046	 0	 0.738113	 0.414398	 0.138199	 5
1462172141.055	 0	 0.774170	 0.429733	 0.095581	 5
1462172141.065	 0	 0.797577	 0.438675	 0.065536	 5
1462172141.075	 0	 0.797577	 0.438675	 0.065536	 5
1462172141.084	 0	 0.806381	 0.450760	 0.028366	 5
1462172141.094	 0	 0.804443	 0.454590	 0.010712	 5
1462172141.104	 0	 0.789780	 0.481445	 -0.064056	 5
1462172141.113	 0	 0.768478	 0.486527	 -0.095764	 5
1462172141.123	 0	 0.767044	 0.515305	 -0.121262	 5
1462172141.132	 0	 0.767044	 0.515305	 -0.121262	 5
1462172141.142	 0	 0.750946	 0.547287	 -0.146973	 5
1462172141.152	 0	 0.739166	 0.556122	 -0.161865	 5
1462172141.161	 0	 0.724533	 0.554581	 -0.155197	 5
1462172141.171	 0	 0.709045	 0.545319	 -0.146606	 5
1462172141.181	 0	 0.709045	 0.545319	 -0.146606	 5
1462172141.190	 0	 0.702850	 0.505234	 -0.111435	 5
1462172141.200	 0	 0.714478	 0.500305	 -0.086746	 5
1462172141.209	 0	 0.733032	 0.494171	 -0.074677	 5
1462172141.219	 0	 0.752716	 0.486984	 -0.076370	 5
1462172141.229	 0	 0.764877	 0.470291	 -0.089966	 5
1462172141.238	 0	 0.764877	 0.470291	 -0.089966	 5
1462172141.248	 0	 0.789749	 0.450424	 -0.099411	 5
1462172141.258	 0	 0.822647	 0.421692	 -0.117615	 5
1462172141.267	 0	 0.949829	 0.293243	 -0.201263	 5
1462172141.277	 0	 1.015625	 0.194351	 -0.243607	 5
1462172141.286	 0	 1.073013	 0.131119	 -0.306595	 5
1462172141.296	 0	 1.073013	 0.131119	 -0.306595	 5
