6	 -0.015793	 1.014206	 0.010910	 5
1462172136.336	 6	 0.130890	 1.026321	 0.089645	 5
1462172136.346	 6	 0.093597	 1.020050	 0.104263	 5
1462172136.356	 6	 0.052444	 0.994461	 0.093262	 5
1462172136.366	 6	 0.024933	 0.981277	 0.066330	 5
1462172136.376	 6	 0.018387	 0.978653	 0.029617	 5
1462172136.386	 6	 0.017792	 0.990631	 0.007782	 5
1462172136.396	 6	 0.024094	 0.995331	 0.021744	 5
1462172136.406	 6	 0.040085	 0.993652	 0.046555	 5
1462172136.416	 6	 0.066086	 0.996918	 0.061554	 5
1462172136.426	 6	 0.079025	 1.003479	 0.074661	 5
1462172136.436	 6	 0.097351	 0.996948	 0.080673	 5
1462172136.446	 6	 0.109741	 0.994431	 0.069824	 5
1462172136.456	 6	 0.117538	 0.997864	 0.054260	 5
1462172136.466	 6	 0.143524	 1.008102	 0.053070	 5
1462172136.476	 6	 0.164429	 0.992783	 0.018005	 5
1462172136.486	 6	 0.168564	 0.964691	 0.023376	 5
1462172136.496	 6	 0.165009	 0.945160	 0.052078	 5
1462172136.506	 6	 0.145615	 0.941177	 0.066803	 5
1462172136.516	 6	 0.123199	 0.946518	 0.086411	 5
1462172136.526	 6	 0.104492	 0.973160	 0.096970	 5
1462172136.536	 6	 0.088165	 0.989380	 0.104584	 5
1462172136.546	 6	 0.090332	 0.990601	 0.100067	 5
1462172136.556	 6	 0.090240	 0.991852	 0.094162	 5
1462172136.566	 6	 0.092178	 0.979538	 0.095657	 5
1462172136.576	 6	 0.103333	 0.977844	 0.080505	 5
1462172136.586	 6	 0.115738	 1.006683	 0.038757	 5
1462172136.596	 6	 0.130249	 1.042160	 -0.009018	 5
1462172136.606	 6	 0.134537	 1.069870	 -0.044479	 5
1462172136.616	 6	 0.114624	 1.080811	 -0.069122	 5
1462172136.626	 6	 0.071457	 1.066360	 -0.088943	 5
1462172136.636	 6	 0.021912	 1.046097	 -0.086624	 5
1462172136.646	 6	 -0.013702	 1.053192	 -0.077164	 5
1462172136.656	 6	 -0.068756	 1.105438	 -0.064468	 5
1462172136.666	 6	 -0.098328	 1.171539	 -0.058929	 5
1462172136.676	 6	 -0.071106	 1.282730	 -0.065567	 5
1462172136.686	 6	 0.009018	 1.409668	 -0.029449	 5
1462172136.696	 6	 0.112961	 1.465897	 0.011734	 5
1462172136.706	 6	 0.211029	 1.478271	 0.007065	 5
1462172136.716	 6	 0.221405	 1.462540	 -0.008804	 5
1462172136.726	 6	 0.136703	 1.425568	 0.001862	 5
1462172136.736	 6	 0.010574	 1.360168	 -0.017944	 5
1462172136.746	 6	 -0.099976	 1.275742	 -0.006668	 5
1462172136.756	 6	 -0.187576	 1.189423	 0.008224	 5
1462172136.766	 6	 -0.258301	 1.090286	 0.005081	 5
1462172136.776	 6	 -0.315613	 1.025848	 0.002533	 5
1462172136.786	 6	 -0.353622	 0.952835	 0.006027	 5
1462172136.796	 6	 -0.385086	 0.888947	 0.018036	 5
1462172136.806	 6	 -0.418289	 0.873779	 0.029510	 5
1462172136.816	 6	 -0.456665	 0.882477	 0.045639	 5
1462172136.826	 6	 -0.446930	 0.948013	 0.099854	 5
1462172136.836	 6	 -0.361084	 1.030334	 0.161804	 5
1462172136.846	 6	 -0.238525	 1.126144	 0.153351	 5
1462172136.856	 6	 -0.131195	 1.241898	 0.122467	 5
1462172136.866	 6	 -0.028137	 1.324554	 0.071518	 5
1462172136.876	 6	 0.060608	 1.377716	 -0.035355	 5
1462172136.886	 6	 0.217026	 1.415115	 -0.070969	 5
1462172136.896	 6	 0.266708	 1.387680	 -0.111511	 5
1462172136.906	 6	 0.260315	 1.322571	 -0.102859	 5
1462172136.916	 6	 0.206619	 1.273773	 -0.060043	 5
1462172136.926	 6	 0.129562	 1.189545	 -0.014557	 5
1462172136.936	 6	 0.015945	 1.072952	 0.003403	 5
1462172136.946	 6	 -0.084015	 0.974365	 0.118149	 5
1462172136.956	 6	 -0.177292	 0.900101	 0.246155	 5
1462172136.966	 6	 -0.271820	 0.813889	 0.298370	 5
1462172136.976	 6	 -0.344391	 0.753464	 0.351288	 5
1462172136.986	 6	 -0.415649	 0.726471	 0.378342	 5
1462172136.996	 6	 -0.449982	 0.696732	 0.409622	 5
1462172137.006	 6	 -0.426971	 0.666504	 0.404678	 5
1462172137.016	 6	 -0.344528	 0.645035	 0.365372	 5
1462172137.026	 6	 -0.246368	 0.630585	 0.333603	 5
1462172137.036	 6	 -0.163635	 0.637985	 0.294418	 5
1462172137.046	 6	 -0.108551	 0.659393	 0.278183	 5
1462172137.056	 6	 -0.062134	 0.680511	 0.258286	 5
1462172137.066	 7	 -0.030487	 0.686111	 0.209930	 5
1462172137.086	 7	 -0.023972	 0.645386	 0.192184	 5
1462172137.096	 7	 -0.079636	 0.605103	 0.218094	 5
1462172137.106	 7	 -0.146759	 0.556946	 0.257782	 5
1462172137.116	 7	 -0.206924	 0.503815	 0.296936	 5
1462172137.126	 7	 -0.250595	 0.463654	 0.329834	 5
1462172137.136	 7	 -0.277100	 0.443970	 0.360001	 5
1462172137.146	 7	 -0.285187	 0.455032	 0.383255	 5
1462172137.156	 7	 -0.286652	 0.470779	 0.401703	 5
1462172137.166	 7	 -0.287216	 0.496384	 0.432449	 5
1462172137.176	 7	 -0.276947	 0.530151	 0.485306	 5
1462172137.186	 7	 -0.249725	 0.589386	 0.552216	 5
1462172137.196	 7	 -0.220993	 0.673782	 0.614548	 5
1462172137.206	 7	 -0.210236	 0.792740	 0.680130	 5
1462172137.216	 7	 -0.235275	 0.939346	 0.720749	 5
1462172137.226	 7	 -0.289856	 1.098755	 0.729492	 5
1462172137.236	 7	 -0.346542	 1.252335	 0.689117	 5
1462172137.246	 7	 -0.366409	 1.371704	 0.639725	 5
1462172137.256	 7	 -0.329407	 1.396439	 0.647644	 5
1462172137.266	 7	 -0.253494	 1.326767	 0.701462	 5
1462172137.276	 7	 -0.170563	 1.211380	 0.761032	 5
1462172137.286	 7	 -0.092102	 1.075775	 0.802139	 5
1462172137.296	 7	 -0.043930	 0.955856	 0.815063	 5
1462172137.306	 7	 -0.025070	 0.869324	 0.790283	 5
1462172137.316	 7	 -0.086273	 0.891830	 0.703812	 5
1462172137.326	 7	 -0.210724	 1.065445	 0.635132	 5
1462172137.336	 7	 -0.356400	 1.252182	 0.521667	 5
1462172137.346	 7	 -0.523300	 1.406433	 0.303238	 5
1462172137.356	 7	 -0.595505	 1.469070	 0.127197	 5
1462172137.366	 7	 -0.553040	 1.420898	 0.130508	 5
1462172137.376	 7	 -0.404221	 1.307114	 0.247238	 5
1462172137.386	 7	 -0.211624	 1.145309	 0.235291	 5
